Country,EdLevel,DevType,LanguageHaveWorkedWith,RemoteWork,ConvertedCompYearly,YearsCodePro
Pakistan,Secondary School,Data scientist or machine learning specialist,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,"Hybrid (some remote, some in-person)",7322.0,
Austria,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,C;C++;Fortran;MATLAB;Python;SQL,"Hybrid (some remote, some in-person)",30074.0,17
Turkey,Master's,Data scientist or machine learning specialist,JavaScript;Julia;Python;SQL;TypeScript,Remote,91295.0,27
France,Master's,"Developer, back-end",Python,Remote,53703.0,
USA,Some College,Student,HTML/CSS;JavaScript;Python;SQL;TypeScript,Remote,110000.0,
UK,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Engineering manager,C#;HTML/CSS;Java;JavaScript;MicroPython;Python;TypeScript,"Hybrid (some remote, some in-person)",161044.0,
UK,Master's,Other (please specify):,Bash/Shell (all shells);Go;HTML/CSS;Java;Kotlin;Python;Ruby;SQL,Remote,121018.0,7
USA,Some College,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Remote,195000.0,
Bulgaria,Some College,"Developer, full-stack",Bash/Shell (all shells);C;Python,Remote,44586.0,
France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,HTML/CSS;Python;SQL,In-person,57999.0,11
UK,Bachelor's,"Developer, back-end",Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;Java;JavaScript,Remote,184712.0,
Greece,Master's,"Developer, full-stack",Java;JavaScript;Python,Remote,79481.0,25
Brazil,Master's,"Developer, back-end",Bash/Shell (all shells);Elixir;JavaScript;TypeScript,Remote,170000.0,12
Germany,Master's,Academic researcher,C++;Rust,In-person,29000.0,
Italy,Some College,"Developer, full-stack",Bash/Shell (all shells);C#;Dart;JavaScript;Python;Rust;TypeScript,Remote,66592.0,10
Germany,Master's,"Developer, full-stack",Delphi,Remote,85925.0,27
UK,Bachelor's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,Remote,124840.0,
Ukraine,Bachelor's,"Developer, embedded applications or devices",C++;Rust,Remote,50000.0,3
USA,Bachelor's,"Engineer, site reliability",Bash/Shell (all shells);Go;Python;Rust,Remote,230000.0,10
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PowerShell;SQL,In-person,85000.0,11
USA,Secondary School,"Developer, full-stack",C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,Remote,160000.0,Less than 1 year
USA,Bachelor's,"Developer, front-end",C#;HTML/CSS;JavaScript,Remote,110000.0,11
USA,Master's,Engineering manager,C#;HTML/CSS;Java;JavaScript;Python,In-person,190000.0,18
UK,Bachelor's,Other (please specify):,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;Rust;SQL;TypeScript,Remote,161783.0,37
UK,Bachelor's,"Developer, mobile",HTML/CSS;Java;JavaScript;Kotlin;SQL,Remote,146496.0,15
Russian Federation,Secondary School,"Developer, full-stack",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python,In-person,12773.0,20
Germany,Master's,"Developer, full-stack",Go;Groovy;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",69814.0,17
USA,Associate,"Developer, full-stack",Apex;C#;JavaScript;Python;SQL,In-person,115000.0,6
South Africa,Some College,"Developer, full-stack",C#;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Remote,64570.0,12
France,Bachelor's,"Developer, back-end",Bash/Shell (all shells);JavaScript;PHP;PowerShell;SQL;TypeScript,"Hybrid (some remote, some in-person)",101896.0,6
USA,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, back-end",Bash/Shell (all shells);C;C++;Go,"Hybrid (some remote, some in-person)",300000.0,2
Czech Republic,Master's,"Developer, back-end",C;HTML/CSS;JavaScript;Python,"Hybrid (some remote, some in-person)",52122.0,7
France,Master's,"Developer, back-end",C#;HTML/CSS;JavaScript;PowerShell;TypeScript,In-person,54777.0,7
Canada,Master's,"Developer, game or graphics",C#;C++;F#;Rust,"Hybrid (some remote, some in-person)",254425.0,16
Germany,Master's,"Developer, embedded applications or devices",C;Python,In-person,27926.0,
Italy,Some College,"Senior Executive (C-Suite, VP, etc.)",Java;Python,"Hybrid (some remote, some in-person)",107406.0,6
Brazil,Some College,"Developer, front-end",HTML/CSS;JavaScript;SQL;TypeScript,Remote,37297.0,8
USA,Bachelor's,"Developer, QA or test",Bash/Shell (all shells);Java;SQL,Remote,140000.0,6
"Iran, Islamic Republic of...",Master's,"Developer, full-stack",Go;HTML/CSS;Java;JavaScript;SQL;TypeScript,In-person,213840.0,7
Italy,Bachelor's,Student,GDScript;MATLAB;Python,Remote,4833.0,Less than 1 year
USA,Master's,"Developer, back-end",C;C++;Perl;SQL,Remote,200000.0,7
Ukraine,Primary School,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",148.0,12
USA,Associate,"Developer, full-stack",Bash/Shell (all shells);Java;JavaScript;TypeScript,Remote,93000.0,15
Russian Federation,Master's,"Developer, front-end",HTML/CSS;JavaScript;Python;TypeScript,Remote,67227.0,14
Germany,Bachelor's,"Developer, front-end",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",144998.0,7
France,Some College,"Developer, full-stack",HTML/CSS;JavaScript;PHP;TypeScript,Remote,59073.0,4
Canada,Bachelor's,"Developer, full-stack",HTML/CSS;Java;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",119943.0,15
USA,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Julia;Lua;Python,"Hybrid (some remote, some in-person)",100000.0,15
Dominican Republic,Bachelor's,Data or business analyst,Python;SQL,"Hybrid (some remote, some in-person)",14142.0,45
USA,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,Remote,102000.0,4
Turkey,Bachelor's,Engineering manager,Bash/Shell (all shells);C#;Java;JavaScript;Lua;Objective-C;PHP,Remote,123654.0,Less than 1 year
Ukraine,Master's,"Developer, back-end",C#;JavaScript;MATLAB,Remote,650.0,3
Germany,Some College,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Perl;PHP;Python;Ruby;SQL;TypeScript;VBA,Remote,42962.0,1
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Remote,170000.0,6
Austria,Some College,"Developer, front-end",C++;HTML/CSS;Java;JavaScript;Python;TypeScript,Remote,42962.0,8
USA,Bachelor's,System administrator,Ada;Apex;Assembly;Bash/Shell (all shells);C++;Dart;HTML/CSS;Java;JavaScript;Objective-C,Remote,136000.0,24
Italy,Master's,"Developer, embedded applications or devices",Bash/Shell (all shells);C;C++;Python,"Hybrid (some remote, some in-person)",48333.0,
USA,Some College,System administrator,C#,Remote,3000.0,2
Switzerland,Bachelor's,"Developer, full-stack",C#;SQL;Swift,"Hybrid (some remote, some in-person)",167125.0,
France,Some College,Engineering manager,Bash/Shell (all shells);C;JavaScript;Perl;PHP;Python;SQL,"Hybrid (some remote, some in-person)",53703.0,6
Belgium,Master's,"Developer, full-stack",Delphi;HTML/CSS;JavaScript;PHP;SQL,Unknown,46185.0,
Peru,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, mobile",Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL;Swift;TypeScript,"Hybrid (some remote, some in-person)",79218.0,29
USA,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;SQL,In-person,175000.0,
USA,Bachelor's,"Developer, full-stack",C#;HTML/CSS;PowerShell;SQL;TypeScript,In-person,650000.0,5
Germany,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",85925.0,
Bolivia,Bachelor's,"Developer, full-stack",C#;JavaScript,Remote,31200.0,1
Germany,Something else,Cloud infrastructure engineer,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Python;TypeScript,Remote,55851.0,Less than 1 year
USA,Secondary School,"Developer, desktop or enterprise applications",Bash/Shell (all shells);Python,Remote,130000.0,
Morocco,Master's,"Developer, full-stack",C#;C++;Python;SQL;TypeScript,In-person,3618.0,15
USA,Master's,Research & Development role,Bash/Shell (all shells);C++;Python,In-person,150000.0,8
USA,Secondary School,"Developer, back-end",Go;JavaScript;Python;Rust;SQL;TypeScript,Remote,400000.0,
India,Master's,"Developer, full-stack",HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Remote,13160.0,30
USA,Some College,Other (please specify):,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;Ruby;Rust,Remote,160000.0,1
Turkey,Bachelor's,"Developer, back-end",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Remote,2411.0,10
Luxembourg,Master's,"Developer, back-end",Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL;Visual Basic (.Net),Remote,118147.0,30
Georgia,Bachelor's,"Developer, back-end",C#;C++;Lua;PowerShell;SQL,Remote,50340.0,
UK,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,Bash/Shell (all shells);Python,"Hybrid (some remote, some in-person)",49681.0,25
USA,Bachelor's,"Developer, desktop or enterprise applications",C#;C++;SQL,"Hybrid (some remote, some in-person)",100000.0,5
Saudi Arabia,Bachelor's,Other (please specify):,C#;C++;HTML/CSS;Java;JavaScript;SQL;Swift;Visual Basic (.Net),"Hybrid (some remote, some in-person)",16532.0,24
USA,Associate,"Developer, full-stack",C#;HTML/CSS;PowerShell;Python;SQL;VBA;Visual Basic (.Net),Remote,100000.0,26
USA,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,Remote,220000.0,10
Ukraine,Bachelor's,"Developer, back-end",Java;JavaScript,Remote,494.0,9
USA,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Go;Java;JavaScript;Lisp;Python;Rust;SQL;TypeScript,Remote,220000.0,20
Brazil,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,Remote,10630.0,4
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Remote,250000.0,12
Canada,Some College,"Developer, full-stack",HTML/CSS;Ruby;Rust;SQL;TypeScript,Remote,218079.0,
USA,Bachelor's,"Developer, full-stack",C#;JavaScript;PowerShell;SQL;TypeScript,Remote,140000.0,29
USA,Master's,"Developer, full-stack",Bash/Shell (all shells);C#;Go;Java;JavaScript;Python;Ruby;SQL;TypeScript,Unknown,180000.0,9
Germany,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP,Remote,42962.0,20
UK,Master's,"Developer, desktop or enterprise applications",C#;JavaScript,"Hybrid (some remote, some in-person)",75159.0,
USA,Bachelor's,"Developer, back-end",Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;Perl;Python;SQL,"Hybrid (some remote, some in-person)",150000.0,
UK,Bachelor's,"Developer, back-end",C#;F#;HTML/CSS;JavaScript;Python;TypeScript,Remote,104458.0,
USA,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,R;SQL,Remote,100000.0,37
Ireland,Master's,"Developer, full-stack",Bash/Shell (all shells);C;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;Python;SQL;Swift;TypeScript,Remote,47259.0,4
USA,Bachelor's,"Developer, back-end",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Remote,150000.0,
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;Clojure;Elixir;Erlang;Go;Haskell;HTML/CSS;JavaScript;Lisp;OCaml;Prolog;Rust;SQL;TypeScript,Remote,150000.0,2
Germany,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Python;TypeScript,Remote,96666.0,7
USA,Associate,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",150000.0,33
USA,Bachelor's,"Developer, back-end",C#;JavaScript;Python;Ruby;SQL;TypeScript,In-person,432000.0,1
Ukraine,Master's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,Remote,1740.0,
UK,Bachelor's,Other (please specify):,Assembly;Bash/Shell (all shells);C;Perl,"Hybrid (some remote, some in-person)",152865.0,11
Romania,Bachelor's,Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,Remote,3021.0,3
Italy,Secondary School,"Developer, back-end",C++;Java;PHP,Remote,29000.0,8
Ukraine,Master's,"Developer, back-end",C#;JavaScript;PHP;TypeScript,Remote,163.0,15
UK,Bachelor's,Other (please specify):,HTML/CSS;Java;JavaScript,"Hybrid (some remote, some in-person)",67516.0,24
Italy,Secondary School,"Developer, desktop or enterprise applications",Bash/Shell (all shells);SQL,"Hybrid (some remote, some in-person)",64444.0,3
USA,Bachelor's,"Developer, back-end",Go;Python;Ruby;Rust;SQL,Remote,185000.0,
Switzerland,Bachelor's,Other (please specify):,Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Hybrid (some remote, some in-person)",88019.0,6
USA,Secondary School,Security professional,Assembly;Bash/Shell (all shells);C#;GDScript;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL,Remote,55000.0,26
Spain,Master's,DevOps specialist,Bash/Shell (all shells);Python;SQL,Remote,85925.0,Less than 1 year
Spain,Master's,Engineering manager,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Remote,91295.0,6
India,Bachelor's,"Developer, full-stack",C;C#;C++;HTML/CSS;Java;JavaScript;MicroPython;PHP;Python;SQL,Remote,5982.0,
France,Master's,"Developer, QA or test",Bash/Shell (all shells);C;C++;MATLAB;Perl;Python,"Hybrid (some remote, some in-person)",67666.0,13
Italy,Master's,Other (please specify):,HTML/CSS;JavaScript;R;VBA,Remote,178343.0,35
UK,Master's,"Developer, back-end",C#;PowerShell,Remote,85350.0,4
USA,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Go;JavaScript;Python;SQL,"Hybrid (some remote, some in-person)",120000.0,12
Germany,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;Python,Remote,97740.0,27
Cyprus,Some College,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,Remote,93980.0,5
Paraguay,Master's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Remote,100000.0,7
Switzerland,Secondary School,"Developer, full-stack",HTML/CSS;Java;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",128129.0,25
France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, back-end",Bash/Shell (all shells);C++;Julia;Python;Rust,"Hybrid (some remote, some in-person)",44037.0,3
USA,Master's,"Developer, full-stack",C++;HTML/CSS;JavaScript;Python,"Hybrid (some remote, some in-person)",101000.0,30
USA,Master's,Developer Experience,C;C#;C++;JavaScript;Objective-C;PowerShell;Python;Scala;Swift;TypeScript,Remote,300000.0,
Ireland,Some College,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;PowerShell;TypeScript,"Hybrid (some remote, some in-person)",161109.0,8
